Address	City	County	Zip		[sequence]	[summary]	[addressee]	[delivery_line_1]	[delivery_line_2]	[city_name]	[state_abbreviation]	[full_zipcode]	[notes]	[county_name]	[rdi]	[latitude]	[longitude]	[precision]	[dpv_match_code]	[dpv_footnotes]	[footnotes]	[county_fips]	[record_type]	[zip_type]	[carrier_route]	[congressional_district]	[building_default_indicator]	[elot_sequence]	[elot_sort]	[time_zone]	[utc_offset]	[dst]	[dpv_cmra]	[ews_match]	[lacslink_indicator]	[lacslink_code]	[suitelink_match]	[dpv_vacant]	[active]	[urbanization]	[primary_number]	[street_name]	[street_predirection]	[street_postdirection]	[street_suffix]	[secondary_number]	[secondary_designator]	[extra_secondary_number]	[extra_secondary_designator]	[pmb_designator]	[pmb_number]	[default_city_name]	[zipcode]	[plus4_code]	[delivery_point]	[delivery_point_check_digit]	[last_line]	[delivery_point_barcode]
4550 W. 150th Street	Cleveland	Cuyahoga	44135		22	Match-Mailable		4550 W 150th St		Cleveland	OH	44135-3460	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.42908	-81.80301	Zip9	Y	AABB	N#	39035	S	Standard	C004	09		0001	A	Eastern	-5	Y	N					N	Y		4550	150th	W		St								44135	3460	50	5	Cleveland OH 44135-3460	441353460505
3830 EAST 131 STREET	CLEVELAND	Cuyahoga	44120		23	Match-Mailable		3830 E 131st St		Cleveland	OH	44120-4664	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.45553	-81.59155	Zip9	Y	AABB	N#	39035	S	Standard	C023	11		0069	A	Eastern	-5	Y	N					N	Y		3830	131st	E		St								44120	4664	30	6	Cleveland OH 44120-4664	441204664306
1962 STOKES BLVD.	CLEVELAND	Cuyahoga	44106		24	Match-Mailable		1962 Stokes Blvd		Cleveland	OH	44106-2254	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.50483	-81.61308	Zip9	Y	AABB	N#	39035	S	Standard	C022	11		0126	A	Eastern	-5	Y	N					N	Y		1962	Stokes			Blvd								44106	2254	62	4	Cleveland OH 44106-2254	441062254624
6901 Superior Avenue	Cleveland	Cuyahoga	44103		25	Match-Mailable		6901 Superior Ave		Cleveland	OH	44103-2635	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.51925	-81.6422	Zip9	Y	AABB	N#	39035	S	Standard	C008	11		0047	D	Eastern	-5	Y	N					N	Y		6901	Superior			Ave								44103	2635	01	1	Cleveland OH 44103-2635	441032635011
3706 Pearl Road	Cleveland	Cuyahoga	44109		26	Match-Mailable		3706 Pearl Rd		Cleveland	OH	44109-2703	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.45432	-81.70138	Zip9	Y	AABB	N#	39035	S	Standard	C005	09		0077	A	Eastern	-5	Y	N					N	Y		3706	Pearl			Rd								44109	2703	06	4	Cleveland OH 44109-2703	441092703064
1900 Fulton Road	Cleveland	Cuyahoga	44113		27	Match-Mailable		1900 Fulton Rd		Cleveland	OH	44113-3346	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.48135	-81.71133	Zip9	Y	AABB	N#	39035	S	Standard	C016	11		0137	A	Eastern	-5	Y	N					N	Y		1900	Fulton			Rd								44113	3346	00	1	Cleveland OH 44113-3346	441133346001
856 EAST 152 STREET	CLEVELAND	Cuyahoga	44110		28	Match-Mailable		856 E 152nd St		Cleveland	OH	44110-3002	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.55596	-81.57599	Zip9	Y	AABB	N#	39035	S	Standard	C019	11		0003	A	Eastern	-5	Y	N					N	Y		856	152nd	E		St								44110	3002	56	4	Cleveland OH 44110-3002	441103002564
11602 LORAIN AVENUE	CLEVLEAND	Cuyahoga	44111		29	Match-Mailable		11602 Lorain Ave		Cleveland	OH	44111-5403	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.46305	-81.76851	Zip9	Y	AABB	N#	39035	S	Standard	C032	09		0078	A	Eastern	-5	Y	N					N	Y		11602	Lorain			Ave								44111	5403	02	5	Cleveland OH 44111-5403	441115403025
7224 Broadway Ave	Cleveland	Cuyahoga	44105		30	Match-Mailable		7224 Broadway Ave		Cleveland	OH	44105-1446	Standardized, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.45735	-81.63827	Zip9	Y	AABB		39035	S	Standard	C018	11		0111	A	Eastern	-5	Y	N					N	Y		7224	Broadway			Ave								44105	1446	24	5	Cleveland OH 44105-1446	441051446245
3545 FULTON ROAD	CLEVELAND	Cuyahoga	44109		31	Match-Mailable		3545 Fulton Rd		Cleveland	OH	44109-2357	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.45795	-81.71296	Zip9	Y	AABB	N#	39035	S	Standard	C006	09		0064	A	Eastern	-5	Y	N					N	Y		3545	Fulton			Rd								44109	2357	45	6	Cleveland OH 44109-2357	441092357456
7201 KINSMAN AVENUE	CLEVELAND	Cuyahoga	44104		32	Match-Mailable		7201 Kinsman Rd		Cleveland	OH	44104-6149	Standardized, Missing secondary number, Address component was changed, Matched street and city and state, Confirmed without secondary	Cuyahoga	Commercial	41.47987	-81.6381	Zip9	D	AAN1	H#L#	39035	H	Standard	C005	11	Y	0073	A	Eastern	-5	Y	N					N	Y		7201	Kinsman			Rd								44104	6149	99	9	Cleveland OH 44104-6149	441046149999
11900 ST. CLAIR AVENUE	CLEVELAND	Cuyahoga	44108		33	Match-Mailable		11900 Saint Clair Ave		Cleveland	OH	44108-2002	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.54106	-81.60226	Zip9	Y	AABB	N#	39035	S	Standard	C022	11		0006	A	Eastern	-5	Y	N					N	Y		11900	Saint Clair			Ave								44108	2002	00	9	Cleveland OH 44108-2002	441082002009
16918 HARVARD AVENUE	CLEVELAND	Cuyahoga	44128		34	Match-Mailable		16918 Harvard Ave		Cleveland	OH	44128-2210	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.4497	-81.56185	Zip9	Y	AABB	N#	39035	S	Standard	C004	11		0040	A	Eastern	-5	Y	N					N	Y		16918	Harvard			Ave								44128	2210	18	7	Cleveland OH 44128-2210	441282210187
1566 CRAWFORD ROAD	CLEVELAND	Cuyahoga	44106		35	Match-Mailable		1566 Crawford Rd		Cleveland	OH	44106-1594	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.51438	-81.62298	Zip9	Y	AABB	N#	39035	S	Standard	C033	11		0198	A	Eastern	-5	Y	N					N	Y		1566	Crawford			Rd								44106	1594	66	4	Cleveland OH 44106-1594	441061594664
850 JEFFERSON AVENUE	CLEVELAND	Cuyahoga	44113		36	Match-Mailable		850 Jefferson Ave		Cleveland	OH	44113-4649	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.47917	-81.68568	Zip9	Y	AABB	N#	39035	S	Standard	C015	11		0322	A	Eastern	-5	Y	N					N	Y		850	Jefferson			Ave								44113	4649	50	9	Cleveland OH 44113-4649	441134649509
10200 SUPERIOR AVENUE	CLEVELAND	Cuyahoga	44106		37	Match-Mailable		10200 Superior Ave		Cleveland	OH	44106-1109	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.52139	-81.61757	Zip9	Y	AABB	N#	39035	S	Standard	C013	11		0001	A	Eastern	-5	Y	N					N	Y		10200	Superior			Ave								44106	1109	00	4	Cleveland OH 44106-1109	441061109004
8216 LORAIN BLVD	CLEVELAND	Cuyahoga	44102		38	Match-Mailable		8216 Lorain Ave		Cleveland	OH	44102-4259	Standardized, Address component was changed, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.47099	-81.74143	Zip9	Y	AABB	L#	39035	S	Standard	C029	11		0065	A	Eastern	-5	Y	N					N	Y		8216	Lorain			Ave								44102	4259	16	2	Cleveland OH 44102-4259	441024259162
325 SUPERIOR AVENUE	CLEVELAND	Cuyahoga	44114		39	Match-Mailable		325 Superior Ave E		Cleveland	OH	44114-1205	Standardized, Address component was changed, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.50117	-81.69177	Zip9	Y	AABB	L#	39035	S	Standard	C033	11		0156	A	Eastern	-5	Y	N					N	Y		325	Superior		E	Ave								44114	1205	25	1	Cleveland OH 44114-1205	441141205251
14000 KINSMAN ROAD	CLEVELAND	Cuyahoga	44120		40	Match-Mailable		14000 Kinsman Rd		Cleveland	OH	44120-4821	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.46403	-81.58445	Zip9	Y	AABB	N#	39035	S	Standard	C044	11		0105	A	Eastern	-5	Y	N					N	Y		14000	Kinsman			Rd								44120	4821	00	4	Cleveland OH 44120-4821	441204821004
11353 SHAKER BLVD.	CLEVELAND	Cuyahoga	44120		41	No Match		11353 Shaker Blvd		Cleveland	OH	44104-3805	Corrected ZIP code, Fixed abbreviations, Matched street and city and state, Primary number invalid	Cuyahoga	Unknown	41.48686	-81.60372	Zip8	N	AAM3	A#N#	39035	S	Standard	C020	11				Eastern	-5	Y									11353	Shaker			Blvd								44104	3805			Cleveland OH 44104-3805	441043805
4421 WEST 140TH STREET	CLEVLEAND	Cuyahoga	44135		42	Match-Mailable		4421 W 140th St		Cleveland	OH	44135-2109	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.43415	-81.79019	Zip9	Y	AABB	N#	39035	S	Standard	C017	09		0031	A	Eastern	-5	Y	N					N	Y		4421	140th	W		St								44135	2109	21	8	Cleveland OH 44135-2109	441352109218
4303 PEARL ROAD	CLEVELAND	Cuyahoga	44109		43	Match-Mailable		4303 Pearl Rd		Cleveland	OH	44109-4203	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.43743	-81.7075	Zip9	Y	AABB	N#	39035	S	Standard	C004	09		0006	A	Eastern	-5	Y	N					N	Y		4303	Pearl			Rd								44109	4203	03	0	Cleveland OH 44109-4203	441094203030
2200 E. 30TH STREET	CLEVELAND	Cuyahoga	44115		44	Match-Mailable		2200 E 30th St		Cleveland	OH	44115-2918	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.49805	-81.6666	Zip9	Y	AABB	N#	39035	S	Standard	C002	11		0195	A	Eastern	-5	Y	N					N	Y		2200	30th	E		St								44115	2918	00	5	Cleveland OH 44115-2918	441152918005
3465 EAST 93RD STREET	CLEVELAND	Cuyahoga	44104		45	No Match		3465 E 93rd St		Cleveland	OH	44104-5251	Fixed abbreviations, Matched street and city and state, Primary number invalid	Cuyahoga	Commercial	41.46391	-81.62107	Zip9	N	AAM3	N#	39035	S	Standard	C018	11				Eastern	-5	Y									3465	93rd	E		St								44104	5251			Cleveland OH 44104-5251	441045251
7910 DETROIT AVENUE	CLEVELAND	Cuyahoga	44102		46	Match-Mailable		7910 Detroit Ave		Cleveland	OH	44102-2816	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.48203	-81.73961	Zip9	Y	AABB	N#	39035	S	Standard	C004	11		0124	A	Eastern	-5	Y	N					N	Y		7910	Detroit			Ave								44102	2816	10	1	Cleveland OH 44102-2816	441022816101
3805 WEST 157TH STREET	CLEVELAND	Cuyahoga	44111		47	Match-Mailable		3805 W 157th St		Cleveland	OH	44111-5809	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.45142	-81.80738	Zip9	Y	AABB	N#	39035	S	Standard	C045	09		0003	A	Eastern	-5	Y	N					N	Y		3805	157th	W		St								44111	5809	05	2	Cleveland OH 44111-5809	441115809052
5806 WOODLAND AVENUE	CLEVELAND	Cuyahoga	44104		48	Match-Mailable		5806 Woodland Ave		Cleveland	OH	44104-2743	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.48793	-81.64914	Zip9	Y	AABB	N#	39035	S	Standard	C006	11		0081	A	Eastern	-5	Y	N					N	Y		5806	Woodland			Ave								44104	2743	06	5	Cleveland OH 44104-2743	441042743065
4480 Ridge Road	Brooklyn	Cuyahoga	44144		49	Match-Mailable		4480 Ridge Rd		Cleveland	OH	44144-3353	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.43547	-81.7354	Zip9	Y	AABB	N#	39035	S	Standard	C017	09		0013	A	Eastern	-5	Y	N					N	Y		4480	Ridge			Rd								44144	3353	80	1	Cleveland OH 44144-3353	441443353801
5225 Library Lane	Maple Heights	Cuyahoga	44137		50	Match-Mailable		5225 Library Ln		Maple Heights	OH	44137-1242	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.41811	-81.56965	Zip9	Y	AABB	N#	39035	S	Standard	C003	11		0006	A	Eastern	-5	Y	N					N	Y		5225	Library			Ln								44137	1242	25	5	Maple Heights OH 44137-1242	441371242255
2121 Snow Rd	Parma	Cuyahoga	44134		51	Match-Mailable		2121 Snow Rd		Cleveland	OH	44134-2728	Standardized, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.40501	-81.69605	Zip9	Y	AABB		39035	S	Standard	C023	09		0003	A	Eastern	-5	Y	N					N	Y		2121	Snow			Rd								44134	2728	21	2	Cleveland OH 44134-2728	441342728212
70 Columbus Road	Bedford	Cuyahoga	44146		52	Match-Mailable		70 Columbus St		Bedford	OH	44146-2836	Standardized, Address component was changed, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.39363	-81.53509	Zip9	Y	AABB	L#	39035	S	Standard	C001	11		0014	A	Eastern	-5	Y	N					N	Y		70	Columbus			St								44146	2836	70	5	Bedford OH 44146-2836	441462836705
5409 Turney Road	Garfield Heights	Cuyahoga	44125		53	Match-Mailable		5409 Turney Rd		Cleveland	OH	44125-3203	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.41532	-81.60471	Zip9	Y	AABB	N#	39035	S	Standard	C004	11		0003	A	Eastern	-5	Y	N					N	Y		5409	Turney			Rd								44125	3203	09	7	Cleveland OH 44125-3203	441253203097
4415 Northfield Road	Warrensville Heights	Cuyahoga	44128		54	Match-Mailable		4415 Northfield Rd		Cleveland	OH	44128-4603	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.43877	-81.52447	Zip9	Y	AABB	N#	39035	S	Standard	C018	11		0271	D	Eastern	-5	Y	N					N	Y		4415	Northfield			Rd								44128	4603	15	2	Cleveland OH 44128-4603	441284603152
14101 Euclid Ave	East Cleveland	Cuyahoga	44101		55	Match-Mailable		14101 Euclid Ave		Cleveland	OH	44112-3807	Standardized, Corrected ZIP code, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.52875	-81.58512	Zip9	Y	AABB	A#	39035	S	Standard	C032	11		0150	A	Eastern	-5	Y	N					N	Y		14101	Euclid			Ave								44112	3807	01	9	Cleveland OH 44112-3807	441123807019
3104 West 25th St	Cleveland	Cuyahoga	44109		56	Match-Mailable		3104 W 25th St		Cleveland	OH	44109-1688	Standardized, Missing secondary number, Fixed abbreviations, Matched street and city and state, Confirmed without secondary	Cuyahoga	Commercial	41.46976	-81.69982	Zip9	D	AAN1	H#N#	39035	H	Standard	C014	11	Y	0074	A	Eastern	-5	Y	N					N	Y		3104	25th	W		St								44109	1688	99	1	Cleveland OH 44109-1688	441091688991
12200 Fairhill Road	Cleveland	Cuyahoga	44105		57	Match-Mailable		12200 Fairhill Rd		Cleveland	OH	44120-1058	Standardized, Corrected ZIP code, Missing secondary number, Fixed abbreviations, Matched street and city and state, Confirmed without secondary	Cuyahoga	Residential	41.49169	-81.59762	Zip9	D	AAN1	A#H#N#	39035	H	Standard	C002	11	Y	0021	A	Eastern	-5	Y	N					N	Y		12200	Fairhill			Rd								44120	1058	99	7	Cleveland OH 44120-1058	441201058997
7115 Woodland Avenue	Cleveland	Cuyahoga	44104		58	Match-Mailable		7115 Woodland Ave		Cleveland	OH	44104-3025	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.48821	-81.63921	Zip9	Y	AABB	N#	39035	S	Standard	C023	11		0192	A	Eastern	-5	Y	N					N	Y		7115	Woodland			Ave								44104	3025	15	1	Cleveland OH 44104-3025	441043025151
14109 BENWOOD AVENUE	CLEVELAND	Cuyahoga	44128		59	Match-Mailable		14109 Benwood Ave		Cleveland	OH	44128-1843	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.45096	-81.58319	Zip9	Y	AABB	N#	39035	S	Standard	C014	11		0085	D	Eastern	-5	Y	N					N	Y		14109	Benwood			Ave								44128	1843	09	6	Cleveland OH 44128-1843	441281843096
53 Park Ave West	Mansfield	Richland	44902		60	Match-Mailable		53 Park Ave W		Mansfield	OH	44902-1602	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Richland	Commercial	40.75854	-82.51688	Zip9	Y	AABB	N#	39139	S	Standard	C005	12		0152	A	Eastern	-5	Y	N					N	Y		53	Park		W	Ave								44902	1602	53	4	Mansfield OH 44902-1602	449021602534
2490 Lee Blvd Suite 322	Cleveland Heights	Cuyahoga	44118		61	Match-Mailable		2490 Lee Blvd Ste 322		Cleveland	OH	44118-1268	Standardized, Fixed abbreviations, Bad secondary address, Matched street and city and state, Confirmed by dropping secondary	Cuyahoga	Commercial	41.51614	-81.56988	Zip9	S	AACC	N#S#	39035	H	Standard	C050	11	Y	0002	A	Eastern	-5	Y	N					N	Y		2490	Lee			Blvd	322	Ste						44118	1268	99	7	Cleveland OH 44118-1268	441181268997
